product_id,name,category,price
2001,Wireless Mouse,Accessories,29.99
2002,Mechanical Keyboard,Accessories,89.50
2003,USB-C Hub,Accessories,39.99
2004,27in Monitor,Displays,249.00
2005,Laptop Stand,Accessories,54.99
2006,Noise Canceling Headphones,Audio,199.99
2007,Webcam Pro,Cameras,79.99
2008,Portable SSD,Storage,129.99
2009,Smart Speaker,Smart Home,99.00
2010,Fitness Tracker,Wearables,149.00
2011,Gaming Chair,Furniture,289.00
2012,Graphic Tablet,Creativity,179.00
2013,Bluetooth Speaker,Audio,69.99
2014,Action Camera,Cameras,229.00
2015,Drone Mini,Drones,399.00
2016,Smartphone Gimbal,Accessories,119.00
2017,LED Light Strip,Lighting,39.50
2018,VR Headset,Gaming,499.00
2019,Wireless Charger,Accessories,24.99
2020,Smart Thermostat,Smart Home,199.00
